Date,Time,Open,High,Low,Close,Volume,Change,Volatility,CBR,Date,Weekday
04/05/2020,00:00,209.87,210.7,202.21,203.7,21161.67,-2.939915186,0.040453614,0.726737338,04/05/2020,Monday
04/05/2020,04:00,203.49,203.59,195.0,199.5,33067.37,-1.960784314,0.042213377,0.464493597,04/05/2020,Monday
04/05/2020,08:00,199.51284,202.1,198.11,199.79,15504.53,0.138918377,0.019998713,0.069463659,04/05/2020,Monday
04/05/2020,12:00,199.703884,207.0,199.33,206.03,32070.54,3.167748104,0.038406864,0.824786962,04/05/2020,Monday
04/05/2020,16:00,206.03,206.6,202.44,203.45,11768.29,-1.252244819,0.020191234,0.620192308,04/05/2020,Monday
04/05/2020,20:00,203.5,209.21,203.5,206.699524,16489.91,1.572247666,0.028058968,0.560336953,04/05/2020,Monday
05/05/2020,00:00,206.59,208.32,204.51,205.85,10901.55,-0.358197396,0.018442325,0.194225722,05/05/2020,Tuesday
05/05/2020,04:00,206.07,212.1,206.06,208.52,34325.98,1.188916388,0.029310428,0.405629139,05/05/2020,Tuesday
05/05/2020,08:00,208.548051,209.777787,201.28,203.12,32010.27,-2.602781936,0.040747382,0.638760538,05/05/2020,Tuesday
05/05/2020,12:00,203.240187,205.74,202.17,203.49,9436.67,0.122915159,0.017565424,0.069975630,05/05/2020,Tuesday
05/05/2020,16:00,203.42,204.721506,202.8,203.93,3414.19,0.250712811,0.009446003,0.265416814,05/05/2020,Tuesday
05/05/2020,20:00,204.14,205.93,203.9,205.39,5158.52,0.612324875,0.009944156,0.615763547,05/05/2020,Tuesday
06/05/2020,00:00,205.32,208.77,202.0,206.69,8837.68,0.667251120,0.032972920,0.202363368,06/05/2020,Wednesday
06/05/2020,04:00,206.69,208.57,205.75,207.51,6791.0,0.396729402,0.013643621,0.290780142,06/05/2020,Wednesday
06/05/2020,08:00,207.586409,211.021375,206.33,210.39,17340.46,1.350565778,0.022599625,0.597605393,06/05/2020,Wednesday
06/05/2020,12:00,210.32,211.0,206.81,208.53,9176.01,-0.851084062,0.019922024,0.427207637,06/05/2020,Wednesday
06/05/2020,16:00,208.557085,209.0,204.6,204.76,8727.4,-1.820645412,0.021097341,0.862973864,06/05/2020,Wednesday
06/05/2020,20:00,204.7,206.63,198.09,198.98,21730.33,-2.794333170,0.041719590,0.669789227,06/05/2020,Wednesday
07/05/2020,00:00,198.860604,208.97,196.78,206.0,24856.41,3.590151019,0.061299220,0.585676456,07/05/2020,Thursday
07/05/2020,04:00,206.15,206.88,203.104591,204.85,3698.41,-0.630608780,0.018313893,0.344333554,07/05/2020,Thursday
07/05/2020,08:00,204.778174,205.956996,203.465351,203.882357,3985.74,-0.437457265,0.012167532,0.359528344,07/05/2020,Thursday
07/05/2020,12:00,203.989121,209.57,203.679036,205.91,19366.97,0.941657570,0.028878815,0.326072100,07/05/2020,Thursday
07/05/2020,16:00,206.03,215.6,203.926317,213.31,58813.61,3.533466000,0.056660113,0.623624952,07/05/2020,Thursday
07/05/2020,20:00,213.33,214.56,210.78,212.19,22474.02,-0.534383350,0.017719027,0.301587302,07/05/2020,Thursday
08/05/2020,00:00,212.24,217.12,211.34,212.93,15116.82,0.325103656,0.027233321,0.119377163,08/05/2020,Friday
08/05/2020,04:00,213.0,213.13,206.77,209.51,19916.79,-1.638497653,0.029859155,0.548742138,08/05/2020,Friday
08/05/2020,08:00,209.35,211.932015,209.07,211.19,10718.96,0.878910915,0.013670958,0.642903688,08/05/2020,Friday
08/05/2020,12:00,211.25,212.79,209.25,211.19,11149.32,-0.028402367,0.016757396,0.016949153,08/05/2020,Friday
08/05/2020,16:00,211.41,215.27,210.72,212.97,12530.34,0.737902654,0.021522161,0.342857143,08/05/2020,Friday
08/05/2020,20:00,213.0,215.3,210.61,211.34,20133.0,-0.779342723,0.022018779,0.353944563,08/05/2020,Friday
09/05/2020,00:00,211.25,214.65,209.08,213.81,6848.75,1.211834320,0.026366864,0.459605027,09/05/2020,Saturday
09/05/2020,04:00,213.81,214.24,210.08,210.85,5709.95,-1.384406716,0.019456527,0.711538462,09/05/2020,Saturday
09/05/2020,08:00,210.69,212.3,208.33,209.99,12755.15,-0.332241682,0.018842850,0.176322418,09/05/2020,Saturday
09/05/2020,12:00,209.99406,213.04,209.332576,212.94888,6985.45,1.407096944,0.017654899,0.797000829,09/05/2020,Saturday
09/05/2020,16:00,212.95,214.2,210.68,212.282144,5436.32,-0.313621038,0.016529702,0.189731818,09/05/2020,Saturday
09/05/2020,20:00,212.23,213.5,209.55,209.94,15916.42,-1.079018046,0.018611883,0.579746835,09/05/2020,Saturday
10/05/2020,00:00,209.88,209.88,179.44,186.43,316160.51,-11.173051267,0.145035258,0.770367937,10/05/2020,Sunday
10/05/2020,04:00,186.42,191.4,183.61,191.114656,24701.08,2.518322068,0.041787362,0.602651605,10/05/2020,Sunday
10/05/2020,08:00,190.99,193.51,188.208464,189.83,23415.17,-0.607361642,0.027758186,0.218804513,10/05/2020,Sunday
10/05/2020,12:00,189.67,190.9,186.3,188.54,19960.52,-0.595771603,0.024252649,0.245652174,10/05/2020,Sunday
10/05/2020,16:00,188.54,189.683248,181.0,185.54,92317.27,-1.591174287,0.046055203,0.345492839,10/05/2020,Sunday
10/05/2020,20:00,185.54,190.89,185.16,187.71,18774.36,1.169559125,0.030882829,0.378708551,10/05/2020,Sunday
11/05/2020,00:00,187.65,191.32,187.47,188.68,6168.95,0.548894218,0.020516920,0.267532468,11/05/2020,Monday
11/05/2020,04:00,188.68,188.88,185.8,187.35,13206.45,-0.704897180,0.016323935,0.431818182,11/05/2020,Monday
11/05/2020,08:00,187.288734,189.66,183.95,189.044625,9216.56,0.937531566,0.030487685,0.307511559,11/05/2020,Monday
11/05/2020,12:00,188.910638,193.68,186.25,188.11,24202.91,-0.423818377,0.039330765,0.107757470,11/05/2020,Monday
11/05/2020,16:00,188.207305,188.9,175.715627,187.08,69703.54,-0.598969843,0.070052398,0.085503118,11/05/2020,Monday
11/05/2020,20:00,187.23,188.0,183.64,185.6,9792.46,-0.870586979,0.023286866,0.373853211,11/05/2020,Monday
12/05/2020,00:00,185.590948,189.39,185.57,188.577295,8422.68,1.609101646,0.020582900,0.781766230,12/05/2020,Tuesday
12/05/2020,04:00,188.55,189.3,186.52,188.04,7595.23,-0.270485282,0.014744100,0.183453237,12/05/2020,Tuesday
12/05/2020,08:00,187.93,191.0,187.66,190.66,10361.28,1.452668547,0.017772575,0.817365269,12/05/2020,Tuesday
12/05/2020,12:00,190.67,192.38,188.3,190.72,13763.42,0.026223318,0.021398227,0.012254902,12/05/2020,Tuesday
12/05/2020,16:00,191.03,192.41,189.58,189.58,13120.76,-0.759043082,0.014814427,0.512367491,12/05/2020,Tuesday
12/05/2020,20:00,189.59,190.21,186.62,189.774224,9382.13,0.097169682,0.018935598,0.051315877,12/05/2020,Tuesday
13/05/2020,00:00,189.774224,191.36,189.13,190.85,3662.9,0.566871505,0.011750806,0.482410762,13/05/2020,Wednesday
13/05/2020,04:00,190.97,190.97,189.789085,189.82,3566.88,-0.602188825,0.006183772,0.973821147,13/05/2020,Wednesday
13/05/2020,08:00,189.84,191.07,188.46,191.06,3612.39,0.642646439,0.013748420,0.467432950,13/05/2020,Wednesday
13/05/2020,12:00,191.07,198.46,190.54,197.996659,25427.55,3.625194431,0.041450777,0.874578157,13/05/2020,Wednesday
13/05/2020,16:00,198.06,199.25,195.59,197.143329,11632.62,-0.462824902,0.018479249,0.250456557,13/05/2020,Wednesday
13/05/2020,20:00,197.14,201.33,196.92,199.83,12796.97,1.364512529,0.022369889,0.609977324,13/05/2020,Wednesday
14/05/2020,00:00,199.89,201.03,196.95,199.14,4248.16,-0.375206363,0.020411226,0.183823529,14/05/2020,Thursday
14/05/2020,04:00,199.05,200.9,195.93,199.969504,6021.19,0.461946245,0.024968601,0.185010865,14/05/2020,Thursday
14/05/2020,08:00,199.93,206.0,198.91,202.49,21457.35,1.280448157,0.035462412,0.361071932,14/05/2020,Thursday
14/05/2020,12:00,202.71,203.24,200.76,202.461376,9263.15,-0.122650091,0.012234226,0.100251613,14/05/2020,Thursday
